image,caption
IMG_0234.JPG,Small doll are on the white table .
IMG_0234.JPG,A doll is on the table and the table color is white .
IMG_0235.JPG,Laptop are on the table .
IMG_0235.JPG,The hand put on white laptop .
IMG_0235.JPG,Backpack is behind laptop .
IMG_0235.JPG,There are a content on the laptop .
IMG_0235.JPG,white laptop are on the white table .
IMG_0236.JPG,A man is reading the book .
IMG_0236.JPG,A man in green shirt is sitting on the chair .
IMG_0236.JPG,The book is holding by a man .
IMG_0236.JPG,A man is in the room .
IMG_0236.JPG,A man in green shirt is holding a book .
IMG_0237.JPG,Two man are in the room .
IMG_0237.JPG,One man is sitting and one man is standing .
IMG_0237.JPG,A man is holding a book .
IMG_0237.JPG,Two man are talking in the class .
IMG_0237.JPG,A man in blue shirt is standing .
IMG_0238.JPG,A woman is sitting on the chair .
IMG_0238.JPG,A woman in black shirt is sitting in the room .
IMG_0238.JPG,The table in front of a woman is very dirty .
IMG_0238.JPG,Ipad is on the table near a woman .
IMG_0238.JPG,A woman is sitting in the room .
IMG_0239.JPG,There are many devices on the table .
IMG_0239.JPG,On the white table have many devices .
IMG_0239.JPG,Many device is on the table . 
IMG_0239.JPG,Many device put on the white table .
IMG_0239.JPG,On the table are computer device .
IMG_0240.JPG,Many material are in the box .
IMG_0240.JPG,The box is on the table .
IMG_0240.JPG,The box contain many material and it on the table .
IMG_0240.JPG,The box is open on the table .
IMG_0240.JPG,In the box are electronic materials .
IMG_0241.JPG,The box is on the white table .
IMG_0241.JPG,On the table has a computer keyboard .
IMG_0241.JPG,The keyboard is places near the box .
IMG_0241.JPG,The table was full of electronic devices .
IMG_0241.JPG,Electronic devices are on the table .
IMG_0242.JPG,There are  Bottles in front of a man .
IMG_0242.JPG,The man in black shirt sitting in the room .
IMG_0242.JPG,A man is sitting on the chair near bottles .
IMG_0242.JPG,The bucket and bottles places on the table .
IMG_0242.JPG,A man do sitting near the white table .
IMG_0243.JPG,There is a battery charger plug .
IMG_0243.JPG,Many battery charger is on the plug .
IMG_0243.JPG,On the table have a plug .
IMG_0243.JPG,A glass places near a plug .
IMG_0243.JPG,On the table have glass and battery charger .
IMG_0244.JPG,A man typing on the keyboard .
IMG_0244.JPG,A man in white shirt work on computer .
IMG_0244.JPG,A man sitting on the chair and work on computer .
IMG_0244.JPG,A man typing command to computer .
IMG_0244.JPG,Computer start running program .
IMG_0245.JPG,A hand is holding a mouse .
IMG_0245.JPG,Person use keyboard and mouse .
IMG_0245.JPG,A man is click a mouse on the table .
IMG_0245.JPG,keyboard and mouse are on the table .
IMG_0245.JPG,Black mouse and black keyboard on the table .
IMG_0246.JPG,Tape measure place on the table .
IMG_0246.JPG,Yellow tape measure put on white table .
IMG_0246.JPG,On the table have tape measure .
IMG_0246.JPG,Tape measure is on the ground .
IMG_0246.JPG,Tape measure is on the white ground .
IMG_0247.JPG,Laptop are on the brown table . 
IMG_0247.JPG,Many devices places on table .
IMG_0247.JPG,black mobile phone place on table .
IMG_0247.JPG,A glass places near a laptop .
IMG_0247.JPG,On the table have laptop and mobile phone .
IMG_0248.JPG,Brown table are on the ground .
IMG_0248.JPG,Many devices are on brown table .
IMG_0248.JPG,White laptop place on table and everythings are on the room .
IMG_0248.JPG,Storage cabinet place near the table .
IMG_0248.JPG,On the table have laptop mobile phone and glass .
IMG_0249.JPG,The chair is on the ground .
IMG_0249.JPG,A lot of box place on ground .
IMG_0249.JPG,Chair and many box are in the room .
IMG_0249.JPG,On the ground have a chair .
IMG_0249.JPG,Black chair are on the ground .
190246_0.jpg,A man looking at there laptop .
190246_0.jpg,A man on the right wearing clock .
190246_0.jpg,A man on the left wearing cream coat .
190246_0.jpg,Man on the right wearing a nectie .
190246_0.jpg,Two man wearing a glass .
190247_0.jpg,There is a man looking at there phone .
190247_0.jpg,Laptop placed in front of man .
190247_0.jpg,Laptop placed on the table .
190247_0.jpg,A man wearing a white T-shirt .
190247_0.jpg,A man holding his I-pad .
190248_0.jpg,A man wearing a white shirt .
190248_0.jpg,The laptop is in front of the man .
190248_0.jpg,there is two laptop on the table .
190248_0.jpg,man resting his hands on the table .
190248_0.jpg,there is two bottle on the table .
IMG_0250.JPG,Many box place on the ground .
IMG_0250.JPG,Garbage is on the ground .
IMG_0250.JPG,This area is not empty .
IMG_0250.JPG,There is a cardboard next to the box.
IMG_0250.JPG,There is a crate box on the floor.
IMG_0257.JPG,A man in blue shirt keep his book . 
IMG_0257.JPG,A man is standing on the ground .
IMG_0257.JPG,Two man are on the room .
IMG_0257.JPG,A man in blue shirt stading and keep his laptop .
IMG_0257.JPG,Two man stading and sitting in the room .
IMG_0258.JPG,A man in dark blue shirt standing on the room .
IMG_0258.JPG,A man in black shirt sitting near a woman .
IMG_0258.JPG,There are three people on the room .
IMG_0258.JPG,A group of people having a meeting .
IMG_0258.JPG,A team sit on chair for a meeting .
IMG_0259.JPG,A man in black shirt sitting in front of computer .
IMG_0259.JPG,Two man are working in the room .
IMG_0259.JPG,Two man are talking about project in the room .
IMG_0259.JPG,A man sitting on the chair and his friend is standing .
IMG_0259.JPG,Two man do project in laboratory room .
190249.jpg,There is a man wearing blue coat .
190249.jpg,A man wearing a glasses sitting on the chair .
190249.jpg,Chair has been sitting by a man .
190249.jpg,A man giving thumbs up .
190249.jpg,A man wearing a black pant sitting on the chair .
190250.jpg,A man puts his hand on his forehead .
190250.jpg,A man wearing a white shirt .
190250.jpg,There is a bottle in front of a man .
190250.jpg,There was a table behind the man .
190250.jpg,There is a bag in front of a man .
190251.jpg,A man work on his laptop .
190251.jpg,A team sitting around table for a meeting .
190251.jpg,A man present project on his computer .
190251.jpg,Group of people are meeting .
190251.jpg,A man and his friends are sitting on the room .
190252.jpg,A man sitting on the chair with his laptop .
190252.jpg,A student work on his desktop .
190252.jpg,A student work his project on laptop .
190252.jpg,A man in white shirt sitting on the chair behind laptop .
190252.jpg,Laptop place in front of a student .
IMG_25660920_150148.jpg,A woman is standing and men are sitting .
IMG_25660920_150148.jpg,Men are sitting around the table in the room.
IMG_25660920_150148.jpg,Backpack put on the center of table .
IMG_25660920_150148.jpg,The bottle and backpack put on table .
IMG_25660920_150148.jpg,A Tablet put on black backpack .
IMG_25660919_192208.jpg,A bowl place in front of pot in restaurant .
IMG_25660919_192208.jpg,There is something in a bowl .
IMG_25660919_192208.jpg,A Bowl put on the table in the restaurant.
IMG_25660919_192208.jpg,The pot have 2 part .
IMG_25660919_192208.jpg,White bowl put on the table .
IMG_25660915_120732.jpg,White plate put on the table .
IMG_25660915_120732.jpg,A spoon put on the white plate .
IMG_25660915_120732.jpg,A white plate is dirty and place on the table .
IMG_25660915_120732.jpg,Spoon put on the dirty plate .
IMG_25660915_120732.jpg,Dirty plate put on the black table .
IMG_25660915_120723.jpg,Plastic drinking glasses put on the table .
IMG_25660915_120723.jpg,The bottle put on table near a man .
IMG_25660915_120723.jpg,The bottle place behind plastic drinking glasses .
IMG_25660915_120723.jpg,Plastic place in front of the bottle .
IMG_25660915_120723.jpg,A Man in white shirt playing his smartphone .
IMG_25660915_083048.jpg,The plastic bottle and backpack put on table .
IMG_25660915_083048.jpg,A Backpack put on table near the computer .
IMG_25660915_083048.jpg,The bottle is next to backpack .
IMG_25660915_083048.jpg,Monitor and computer is next to backpack .
IMG_25660915_083048.jpg,Computer case place near the plastic bottle .
IMG_25660914_092811.jpg,A red car is parked under the roof.
IMG_25660914_092811.jpg,A van is parked under the roof.
IMG_25660914_092811.jpg,A gray car is parked under the roof.
IMG_25660914_092811.jpg,four car is parked under the roof.
IMG_25660914_092811.jpg,car is parked near tree.
IMG_25660914_085832.jpg,nobody in room.
IMG_25660914_085832.jpg,white board behind ther projector screen.
IMG_25660914_085832.jpg,projector screen front of white board.
IMG_25660914_085832.jpg,The speaker is attached to the wall.
IMG_25660914_085832.jpg,light turn on.
IMG_25660913_132521.jpg,The man holding microphone .
IMG_25660913_132521.jpg,A man is talking in the class .
IMG_25660913_132521.jpg,Teacher is teaching his students .
IMG_25660913_132521.jpg,A lecturer is teaching his students in front of the class .
IMG_25660913_132521.jpg,Teacher talking with students .
IMG_25660913_132510.jpg,Three man are sitting in classroom .
IMG_25660913_132510.jpg,They are sitting in classroom .
IMG_25660913_132510.jpg,The man in white shirt study with his friends .
IMG_25660913_132510.jpg,Many people study together in the room .
IMG_25660913_132510.jpg,Three man study together in the room .
IMG_25660913_132501.jpg,Four man sitting on the chair .
IMG_25660913_132501.jpg,There are four man and one man wear black shirt .
IMG_25660913_132501.jpg,They are study together in the classroom .
IMG_25660913_132501.jpg,They are sitting and study .
IMG_25660913_132501.jpg,They are play game in classroom .
IMG_25660913_083150.jpg,three bottles are on the table .
IMG_25660913_083150.jpg,men are sitting.
IMG_25660913_083150.jpg,A man is holding a mouse.
IMG_25660913_083150.jpg,pocket is placed on the table.
IMG_25660913_083150.jpg,men see something.
IMG_25660913_083145.jpg,three bottles are on the table .
IMG_25660913_083145.jpg,men are sitting.
IMG_25660913_083145.jpg,A man is holding a mouse.
IMG_25660913_083145.jpg,pocket is placed on the table.
IMG_25660913_083145.jpg,labtop is placed on the table.
IMG_25660913_083131.jpg,Two man sitting on the chair in the classroom .
IMG_25660913_083131.jpg,A man in brown shirt eating breakfast .
IMG_25660913_083131.jpg,A pen and a plug are on the table .
IMG_25660913_083131.jpg,A man eating breakfast in laboratory room .
IMG_25660913_083131.jpg,Two man are on the room and they are happy .
IMG_25660913_083118.jpg,Laptop is place on table .
IMG_25660913_083118.jpg,There is a lot of contents on laptop .
IMG_25660913_083118.jpg,White laptop place on white table  .
IMG_25660913_083118.jpg,small laptop open and place on the table .
IMG_25660913_083118.jpg,In a laptop is open internet on browser .
IMG_25660912_173226.jpg,A man in student uniform are sitting .
IMG_25660912_173226.jpg,On the black chair have a man .
IMG_25660912_173226.jpg,A man are sitting on the chair .
IMG_25660912_173226.jpg,A man in white shirt are sitting on black chair .
IMG_25660912_173226.jpg,A Student is on the laboratory room .
IMG_25660912_173222.jpg,A man in black suit sitting on the chair .
IMG_25660912_173222.jpg,A man sitting on the chair .
IMG_25660912_173222.jpg,A man sitting on the chair and smile .
IMG_25660912_173222.jpg,A homorous man wearing a black shirt sits on a chair .
IMG_25660912_173222.jpg,A homorous man sitting on the chair .
IMG_25660912_173218.jpg,A man sitting on the chair and lift his hand .
IMG_25660912_173218.jpg,A man in black suit sitting on the chair .
IMG_25660912_173218.jpg,A man in black shirt sitting on the chair .
IMG_25660912_173218.jpg,In the room have a man sitting on the chair .
IMG_25660912_173218.jpg,A man sitting and lift his hand up .
1694055376881.jpg,A woman holding phone.
1694055376881.jpg,A woman is sitting.
1694055376881.jpg,A woman play phone.
1694055376881.jpg,A woman Thao table
1694055376881.jpg,The Tree behind woman.
IMG_25660912_121744.jpg,A bottles is on the table.
IMG_25660912_121744.jpg,fruit is on the table.
IMG_25660912_121744.jpg,white table top.
IMG_25660912_121744.jpg,some table was not sat by people.
IMG_25660912_121744.jpg,women are sitting on the table.
IMG_25660911_083155.jpg,nobody in room.
IMG_25660911_083155.jpg,The wooden cabinet is in the corner of the room.
IMG_25660911_083155.jpg,three table is near window.
IMG_25660911_083155.jpg,the wooden cabinet is near window.
IMG_25660911_083155.jpg,Curtains covering the window.
IMG_25660821_091854.jpg,somebody is watching the projector screen.
IMG_25660821_091854.jpg,A man is standing.
IMG_25660821_091854.jpg,tree people are sitting.
IMG_25660821_091854.jpg,Bottles are on the table .
IMG_25660821_091854.jpg,The speaker is attached to the wall.
IMG_25660912_163535.jpg,A labtop is placed on the table.
IMG_25660912_163535.jpg,A man is sleeping.
IMG_25660912_163535.jpg,A man is sleeping by two chair.
IMG_25660912_163535.jpg,something is placed near labtop on the table.
IMG_25660912_163535.jpg,A labtop is placed near something on the table.
IMG_25660912_121752.jpg,A bag is place on the table.
IMG_25660912_121752.jpg,Blue bag is on the table.
IMG_25660912_121752.jpg,On white table are blue bag.
IMG_25660912_121752.jpg,A small blue bag is on the table.
IMG_25660912_121752.jpg,On the table have small blue bag.
IMG_25660904_161902.jpg,model is placed on the table.
IMG_25660904_161902.jpg,four model is placed on the table.
IMG_25660904_161902.jpg,white model is placed on the table.
IMG_25660904_161902.jpg,four white model is placed on the table.
IMG_25660904_161902.jpg,animal model is placed on the table.
IMG_20231007_155200.jpg,the white board behind the pole.
IMG_20231007_155200.jpg,two pole front of the white board.
IMG_20231007_155200.jpg,the white board behind the yellow pole.
IMG_20231007_155200.jpg,two yellow pole front of the white board.
IMG_20231007_155200.jpg,rough floor.
IMG_20231007_130510.jpg,three people are clearning floor.
IMG_20231007_130510.jpg,A man is holding Floor scrubber.
IMG_20231007_130510.jpg,The floor is wet.
IMG_20231007_130510.jpg,three people is under roof.
IMG_20231007_130510.jpg,A man scrub floor.
IMG_20231006_140939.jpg,electronic cabinet is in cornor.
IMG_20231006_140939.jpg,many people is sitting on table.
IMG_20231006_140939.jpg,one table was not sat by people.
IMG_20231006_140939.jpg,The room is lit with light bulbs.
IMG_20231006_140939.jpg,The room is lit with a lot of light bulbs.
192445_0.jpg,There is a man in front of laptop .
192445_0.jpg,A man working on his laptop .
192445_0.jpg,A man in white shirt playing computer .
192445_0.jpg,A man in white shirt working on his laptop .
192445_0.jpg,A man working homework on laptop .
192444_0.jpg,A man in student uniform working with his laptop .
192444_0.jpg,A man sitting and doing homework in the room .
192444_0.jpg,A man doing his homework in laptop in university .
192444_0.jpg,Man in white shirt working on his laptop .
192444_0.jpg,Student doing his group project in the room . 
192443_0.jpg,Three people are waiting the lecturer in the room .
192443_0.jpg,Three men are sitting and play somethings on the table .
192443_0.jpg,Students playing with his friends in the room .
192443_0.jpg,Three students talking with his friends before the class .
192443_0.jpg,Three men sitting near the white table in the room .
192441_0.jpg,Three men sitting near the table in classroom .
192441_0.jpg,Three men waited for the lecturer for teach them .
192441_0.jpg,Men in white shirt talking with friends .
192441_0.jpg,Three men talking for wait the lacturer to teach .
192441_0.jpg,Three men sitting and talking in the laboratory room .
192442_0.jpg,Students in classroom are studying .
192442_0.jpg,Two man and one woman talking in the classroom .
192442_0.jpg,Students doing his group project in the room . 
192442_0.jpg,Students are talk together before class begin .
192442_0.jpg,Men and woman study together in laboratory room .
192439_0.jpg,A group of man walking on the stairs.
192439_0.jpg,A group of man wearing a backpack.
192439_0.jpg,A group of man wearing a white shirt and black pant.
192439_0.jpg,The stairs has a orange color.
192439_0.jpg,Two man a standing near each other.
192440_0.jpg,A man in white shirt sitting on the chair .
192440_0.jpg,A man wearing glasses and white shirt .
192440_0.jpg,A man in student uniform sitting on the chair .
192440_0.jpg,A Student wait for the lecturer for teach him .
192440_0.jpg,A man wait his friends for study together in classroom .
192438_0.jpg,A man on the left wearing a  red coat.
192438_0.jpg,A man in the middle wearing a white shirt.
192438_0.jpg,A man in the middle wearing nectie.
192438_0.jpg,A man in the middle wearing a glasses.
192438_0.jpg,A man in the middle wearing a black pant.
192437_0.jpg,A man in a coat standing on the ground .
192437_0.jpg,A man in student uniform wearing the coat .
192437_0.jpg,A man in standing and holding up two fingers .
192437_0.jpg,A man holding up two fingers and smile .
192437_0.jpg,Man in a shirt standing on the ground and smile .
192436_0.jpg,A sperker is putting on the wooden table.
192436_0.jpg,A speaker is on the table.
192436_0.jpg,the wooden table has a speaker on it.
192436_0.jpg,This speaker has a black color.
192436_0.jpg,This black speaker is on the table.
192446.jpg,A man in black suit using an Ipad .
192446.jpg,The man is wearing a black coat .
192446.jpg,A man in a black coat is stand in front of a computer .
192446.jpg,A man in black coat is standing and playing an ipad .
192446.jpg,A man in black suit is playing his ipad .
IMG_0391.JPG,Three men playing a board game in the room .
IMG_0391.JPG,A man is standing for play board game with his friends .
IMG_0391.JPG,A group of student playing board game.
IMG_0391.JPG,Students playing board game before classroom start .
IMG_0391.JPG,Group of student playing board game after classroom .
IMG_0390.JPG,Two men playing board game together in the room .
IMG_0390.JPG,Two men are happy for playing board game .
IMG_0390.JPG,Students having fun for playing board game .
IMG_0390.JPG,Two students have fun when play board game together .
IMG_0390.JPG,Students play board game in classroom after class .
IMG_0389.JPG,Two men playing board game in the classroom .
IMG_0389.JPG,Men have funny when play board game with friends .
IMG_0389.JPG,Students are happy when play board game after class .
IMG_0389.JPG,Two men sitting on the room for play board game .
IMG_0389.JPG,Students play board game on the table .
IMG_0388.JPG,Laptop place on the white table .
IMG_0388.JPG,Paper and laptop place on the table .
IMG_0388.JPG,Laptop is close and place on the white table .
IMG_0388.JPG,Notebook place on the table in classroom .
IMG_0388.JPG,Sticky note place on the table near laptop .
IMG_20231007_130500.jpg,There is two man standing on the floor .
IMG_20231007_130500.jpg,This two man wearing a black shirt .
IMG_20231007_130500.jpg,A man in the front is wearing a black shirt and jeans short .
IMG_20231007_130500.jpg,A man in the back is wearing a black shirt and black short .
IMG_20231007_130500.jpg,There is a white board on the pole.
IMG_20231007_130526.jpg,A group of a man standing on the floor .
IMG_20231007_130526.jpg,There is a five yellow pole in this picture .
IMG_20231007_130526.jpg,A man on the right is wering a sandals .
IMG_20231007_130526.jpg,A group of a man wearing a black shirt .
IMG_20231007_130526.jpg,A group of a man is on the wet floor .
IMG_20231006_140855.jpg,There are many chairs around the floor .
IMG_20231006_140855.jpg,There is a two table on the floor in library.
IMG_20231006_140855.jpg,The chair on the left has a black color .
IMG_20231006_140855.jpg,There is a basket on the table in the room of university .
IMG_20231006_140855.jpg,There is a book shelf next to a table in the room .
IMG_20231007_155136.jpg,tomba drum is placed near by pole.
IMG_20231007_155136.jpg,tomba drum is placed black floor .
IMG_20231007_155136.jpg,tomba drum is placed rough floor.
IMG_20231007_155136.jpg,Plastic straw rope is next to the pole.
IMG_20231007_155136.jpg,stuff is near pole in the faculty boots .
IMG_20231007_153407.jpg,Pack snacks are in soaking tank.
IMG_20231007_153407.jpg,three pack snacks are in soaking tank.
IMG_20231007_153407.jpg,bule pack snack is in soaking tank.
IMG_20231007_153407.jpg,two pack snacks are in soaking tank.
IMG_20231007_153407.jpg,Pack snacks are in blue soaking tank.
IMG_20231007_113811.jpg,people standing on the floor .
IMG_20231007_113811.jpg,There is a four yellow pole in this picture .
IMG_20231007_113811.jpg,A man on the right is wering a sandals .
IMG_20231007_113811.jpg,A group of a man wearing a black shirt .
IMG_20231007_113811.jpg,A group of a man is on the wet floor .
IMG_20231007_155119.jpg,Two electronic fan are placed on black floor .
IMG_20231007_155119.jpg,Two fan are placed on rough floor.
IMG_20231007_155119.jpg,Electronic fans are in the faculty booth
IMG_20231007_155119.jpg,Fan is place under faculty roof in university .
IMG_20231007_155119.jpg,Two fan are under science and technology roof.
IMG_20231007_141008.jpg,A man is sitting and his friend is sleeping .
IMG_20231007_141008.jpg,A man in black shirt is lie down on the chair .
IMG_20231007_141008.jpg,stuff is placed on the table near men .
IMG_20231007_141008.jpg,A man are holding phone and sitting on the chair .
IMG_20231007_141008.jpg,A man lays down at a table to rest .
IMG_20231007_155131.jpg,tomba drum is placed near by pole.
IMG_20231007_155131.jpg,tomba drum is placed floor of faculty boots .
IMG_20231007_155131.jpg,tomba drum is placed rough floor.
IMG_20231007_155131.jpg,Plastic straw rope is next to the pole.
IMG_20231007_155131.jpg,This is faculty of science and technology .
IMG_0386.JPG,The men are playing board game together .
IMG_0386.JPG,Three men playing game in the classroom .
IMG_0386.JPG,Students are enjoy when play board game .
IMG_0386.JPG,The man standing for play board game with his friends.
IMG_0386.JPG,People play board game in the classroom.
IMG_20231007_130519.jpg,Three people are clearning floor on holiday .
IMG_20231007_130519.jpg,A man is holding Floor scrubber.
IMG_20231007_130519.jpg,The men cleaning the floor and make it wet.
IMG_20231007_130519.jpg,Three people is under roof and cleaning the floor .
IMG_20231007_130519.jpg,Three men standing on the ground and wet the floor .
IMG_20231007_151301.jpg,A man is standing on the floor and cleaning .
IMG_20231007_151301.jpg,A man in black shirt is standing near by pole.
IMG_20231007_151301.jpg,A man is standing near by yellow pole.
IMG_20231007_151301.jpg,Dustpan is near pole.
IMG_20231007_151301.jpg,dustpan is near yellow pole.
IMG_20231007_130452.jpg,Two people are clearning the floor.
IMG_20231007_130452.jpg,A man is holding floor scrubber.
IMG_20231007_130452.jpg,The floor was wet because the man cleaned the floor.
IMG_20231007_130452.jpg,Two people is under roof and scrup the floor .
IMG_20231007_130452.jpg,A man scrub floor in science and technology boots.
IMG_20231007_155115.jpg,People are sitting in the faculty boots.
IMG_20231007_155115.jpg,People are sitting on the table .
IMG_20231007_155115.jpg,The white board is attached to the pole.
IMG_20231007_155115.jpg,Two white board is attached to the pole.
IMG_20231007_155115.jpg,People are sitting in roof.
line_1.jpg,Three man are sitting near by pole.
line_1.jpg,A man is standing front of three man.
line_1.jpg,three man are sitting behind the man is standing.
line_1.jpg,The men are sitting near by brick pole.
line_1.jpg,The man in white shirt is standing in front of other men .
