image,caption
IMG_25660920_150148.jpg,? Students are discussing at the classroom
IMG_25660920_150148.jpg,The bag is full on the table
IMG_25660920_150148.jpg,? students are studing in the class
line_1.jpg,A man is standing on the ground
line_1.jpg,A man is walking ? ? ?
line_1.jpg,The student is standing at the university
line_1.jpg,Many students are sitting behind a man
line_1.jpg,A student is walking to the classroom
190246_0.jpg,Two students are working on the computer
190246_0.jpg,? Students are sitting infrontof ? computer
190246_0.jpg,Two students are sitting ? ? ? 
190246_0.jpg,The students are working in the room
190246_0.jpg,? Students are serious about ? homework
190248_0.jpg,A man is wearing ? a whiteshirt
190248_0.jpg,the laptop ? is front the man
190248_0.jpg,two laptop ? are on the table
190248_0.jpg,? Man is resting ? ? hands
190248_0.jpg,two bottle ? are on the table
IMG_0258.JPG,A man is standing on the room
IMG_0258.JPG,A man is sitting near a woman
IMG_0258.JPG,three people are ? on the room
IMG_0258.JPG,? People are having ? a meeting
IMG_0258.JPG,A team is sitting on ? chair
IMG_0259.JPG,A man is sitting front a computer
IMG_0259.JPG,two man are working in the room
IMG_0259.JPG,two man are talking ? The project
IMG_0259.JPG,A man is sitting on the chair .
IMG_0259.JPG,two man do project in laboratory room
190249.jpg,The man is sitting on the chair
190249.jpg,A man is wearing ? A glasses
190249.jpg,? Char has been sitting by man
190249.jpg,A man thumbs up  ? ? ?
190249.jpg,A man is wearing ? Blue coat
IMG_25660913_132501.jpg,four man are sitting on the chair
IMG_25660913_132501.jpg,one man is wearing ? black shirt
IMG_25660913_132501.jpg,? Men are studying in the classroom
IMG_25660913_132501.jpg,? Men are playing ? the game
IMG_25660913_132501.jpg,four man are sitting in the classroom
IMG_25660913_083131.jpg,A man is eating ? ? ?
IMG_25660913_083131.jpg,Two man are sitting ? ? ?
IMG_25660913_083131.jpg,? students are talking in ? Classroom
IMG_25660913_083131.jpg,The students are talking in the room
IMG_25660913_083131.jpg,A man is hungry ? ? ?
192444_0.jpg,A man is working on the computer .
192444_0.jpg,A man is sitting in the room
192444_0.jpg,A man is doing ? his homework
192444_0.jpg,? Man is working on his laptop
192444_0.jpg,? Student is doing in the room
192441_0.jpg,three man are sitting near the table
192441_0.jpg,three man are waitting ? ? ?
192441_0.jpg,? Men are talking with ? Friends
192441_0.jpg,threee man are talking ? ? ?
192441_0.jpg,three man are sitting in the laboratoryroom
192437_0.jpg,A man is standing on the ground
192437_0.jpg,A man is wearing ? the coat
192437_0.jpg,A man thump up ? ? Twofingers
192437_0.jpg,A man ? smile ? ? ? 
192437_0.jpg,A man is wearing ? ? redcoat
IMG_0391.JPG,Three students are playing ? ? boardgame
IMG_0391.JPG,Three student ? Playing ? a boardgame
IMG_0391.JPG, ? Students are happy ? ? ?
IMG_0391.JPG,Three students are ? near ? boardgame
IMG_0391.JPG,? Students are playing in the classroom
IMG_0390.JPG,Two students are playing ? ? boardgame
IMG_0390.JPG,Two student ? Playing ? a boardgame
IMG_0390.JPG, ? Students are happy after ? Study
IMG_0390.JPG,Two students are sitting near the boardgame
IMG_0390.JPG,? Student are relax ? ? ?
IMG_0389.JPG,two man are playing ? ? Boardgame
IMG_0389.JPG,two man are happy for ? Playing
IMG_0389.JPG,? Students are funning for ? Playing
IMG_0389.JPG,two students are funning when ? Playing
IMG_0389.JPG,A man is serious about ? Boardgame
IMG_20231007_141008.jpg,Two man are tired ? ? ?
IMG_20231007_141008.jpg,Two man are resting ? ? ?
IMG_20231007_141008.jpg,A student are sleep  on the chair
IMG_20231007_141008.jpg,The students are resting on the chair
IMG_20231007_141008.jpg,A student is sitting on the chair
